,Start time,End time,Cut idx,Scene idx,Annotation RJH->KWJ->KTL,,,,,,,,,,,,,,,,,,,,
61,0:02:00,0:02:02,4,5,It is a picture of Venus naked Mrbean continues to look at that picture,,,,,,,,,,,,,,,,,,,,
,,,,,The camera zooms in at Venus breasts then it shows AAA looking at the painting from the back The music senses that there is something wrong,,,,,,,,,,,,,,,,,,,,
,,,,,The painting is of a nude woman in a big clam shell,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
62,0:02:02,0:02:04,4,5,While looking at the picture Mrbean turns his back to see behind twice Maybe he wants to check if the schoolgirls are also seeing that picture,,,,,,,,,,,,,,,,,,,,
,,,,,AAA turns around looks at the statue again then turns around again He is panicking,,,,,,,,,,,,,,,,,,,,
,,,,,He worries that the girls may see this,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
63,0:02:04,0:02:06,4,5,Mrbean jumps to the picture to cover it touching the laser line causing it to ring the alarm The old security guard jumps off his chair dropping a cup of coffee waking up from sleep Mrbean probably thinks that the picture is not appropriate for the schoolgirls since it is a naked body,,,,,,,,,,,,,,,,,,,,
,,,,,He tries to cover the painting of Venus with his two hands and in the process he invades the laser detector and the ringing sound cries out loud The officer wakes up suddenly and the mug cup is shattered into pieces,,,,,,,,,,,,,,,,,,,,
,,,,,So he covers the breasts of the woman in the painting which causes him to cross the laser beam and the alarm goes off The security officer wakes up from his nap His coffee is broken again,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
64,0:02:06,0:02:08,4,5,Angry security guard clenches his fists looking at where the alarm came from Mrbean tries to cover the picture but the group of schoolgirls already came to see the picture,,,,,,,,,,,,,,,,,,,,
,,,,,The ringing sound continues The officer looks to his right and wrinkles his face The girls crowd in front of Venus painting as AAA still tries to cover it,,,,,,,,,,,,,,,,,,,,
,,,,,The schoolgirls are now at the painting Mrbean is covering some parts of it,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
65,0:02:08,0:02:10,4,5,Mrbean waves his hands to make schoolgirls back off and points his finger to where they should be going,,,,,,,,,,,,,,,,,,,,
,,,,,AAA says Go away to the girls The girls are giggling,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean tells the girls to go away,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
66,0:02:10,0:02:12,4,5,The old security guard watches as happy group of schoolgirls leave the gallery with a teacher following in the back,,,,,,,,,,,,,,,,,,,,
,,,,,The girls go away and walks towards the exit The teacher tall lady follows them The officer watches them leave,,,,,,,,,,,,,,,,,,,,
,,,,,The girls and their teacher are now at the security They are leaving the gallery now,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
67,0:02:12,0:02:14,4,5,As schoolgirls and the teacher leave the gallery the security guard starts to walk towards the gallery The teacher looks grumpy,,,,,,,,,,,,,,,,,,,,
,,,,,The girls leave and the officer walks towards the painting Then the outside of the museum is shown There is a green car a purple car and an ambulance showing,,,,,,,,,,,,,,,,,,,,
,,,,,The girls and their teacher are leaving the gallery now,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
68,0:02:14,0:02:16,4,5,A view of two cars parked in front of the art museum A police car with a siren arrives in a hurry,,,,,,,,,,,,,,,,,,,,
,,,,,The ambulance stops in front of the museum It parks before the purple car,,,,,,,,,,,,,,,,,,,,
,,,,,Outside the gallery an ambulance stops mrbean car and the blue car are there too,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
69,0:02:16,0:02:18,4,5,schoolgirls and their teacher pass by the police car,,,,,,,,,,,,,,,,,,,,
,,,,,The girls and the teacher walk past the ambulance There are two police officers in the ambulance,,,,,,,,,,,,,,,,,,,,
,,,,,It is not an ambulance It is a police car,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
70,0:02:18,0:02:20,4,5,After schoolgirls and the teacher walks away two police officers jump out of the car,,,,,,,,,,,,,,,,,,,,
,,,,,The officers get out of the car A schoolgirl sees them getting out of the ambulance,,,,,,,,,,,,,,,,,,,,
,,,,,The schoolgirls and their teacher walk pass the police car Then the police get off the car,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
71,0:02:20,0:02:22,5,1,Mrbean walks to the back of the car to close the trunk,,,,,,,,,,,,,,,,,,,,
,,,,,AAA walks joyfully near his green car and closes his trunk door,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean closes the trunk of his car,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
72,0:02:22,0:02:24,5,1,Mrbean runs lightly to the front of the car from the trunk,,,,,,,,,,,,,,,,,,,,
,,,,,He skips to the front of the car and opens the hood of the car,,,,,,,,,,,,,,,,,,,,
,,,,,He opens up the hood of the car There seem to be a man underneath Mrbean car because his legs can be seen But Mrbean does not notice them,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
73,0:02:24,0:02:26,5,1,Mrbean opens the hood of the car keeping it open with a lever and rubs his hands looking inside,,,,,,,,,,,,,,,,,,,,
,,,,,He fixes the hood holder so that the hood stays open and rubs his two hands together He then goes towards the sidewalk There is also someone lying beneath the green car there is a pair of legs in front of the car,,,,,,,,,,,,,,,,,,,,
,,,,,He opens up the hood of the car He leaves it open with a stick,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
74,0:02:26,0:02:28,5,1,Mrbean jumps on to the pavement from the road and looks at the art museum,,,,,,,,,,,,,,,,,,,,
,,,,,AAA sees the building in front of him in awe and expresses his admiration The building in front of him is the museum,,,,,,,,,,,,,,,,,,,,
,,,,,He is amazed by the magnificent art gallery,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
75,0:02:28,0:02:30,5,1,Mrbean takes a camera out of the jacket He seems delighted,,,,,,,,,,,,,,,,,,,,
,,,,,AAA takes a camera out from his jacket and takes a picture of the museum,,,,,,,,,,,,,,,,,,,,
,,,,,He takes out his camera and takes a picture of the gallery building,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
76,0:02:30,0:02:32,5,1,Mrbean takes a picture of the art museum with a flash and waits for the picture to come out,,,,,,,,,,,,,,,,,,,,
,,,,,AAA smiles afterwards He looks so happy,,,,,,,,,,,,,,,,,,,,
,,,,,He takes a picture of the gallery building,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
77,0:02:32,0:02:34,5,1,Mrbean holds the picture that was just printed out from the camera and keeps walking,,,,,,,,,,,,,,,,,,,,
,,,,,The camera prints out the picture he just took He takes it and walks,,,,,,,,,,,,,,,,,,,,
,,,,,The picture comes out from his instant camera,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
78,0:02:34,0:02:36,5,1,Mrbean is walking towards the stairs to enter the art museum,,,,,,,,,,,,,,,,,,,,
,,,,,AAA walks in front of the museum with the photo He walks up the stairs A lady who looks like an officer walks on the sidewalk,,,,,,,,,,,,,,,,,,,,
,,,,,He starts walking,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
79,0:02:36,0:02:38,5,1,Mrbean is going up the stairs and there is a police woman walking by in the pavement,,,,,,,,,,,,,,,,,,,,
,,,,,AAA walks up the stairs The officer walks towards the green car,,,,,,,,,,,,,,,,,,,,
,,,,,He is going to enter the gallery,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
80,0:02:38,0:02:40,5,1,The police woman stops by Mrbean car His car with hood being open is probably problematic,,,,,,,,,,,,,,,,,,,,
,,,,,The officer sees the green car with the hood open and stops in front of it She exclaims ah Maybe she was looking for something or someone,,,,,,,,,,,,,,,,,,,,
,,,,,A woman security officer notices that the hood of Mrbean car is left open,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
81,0:02:40,0:02:42,5,1,The police woman laugh at the car in a very evil way and reaches inside her jacket to take something out,,,,,,,,,,,,,,,,,,,,
,,,,,She chuckles and takes out a notepad slip of paper from her jacket,,,,,,,,,,,,,,,,,,,,
,,,,,The woman laughs and takes out a ticket She is a traffic warden,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
82,0:02:42,0:02:44,5,1,The police woman takes out a pocket notebook to write mrbean a ticket to probably give him parking fines But she notices legs under the car and a repair tool,,,,,,,,,,,,,,,,,,,,
,,,,,She says Alright and grabs her pen to write something down But just when she was about to she sees the pair of legs near the bottom of the car I think she was about to give the car a ticket for parking in the wrong spot or for opening the hood There is a wrench next to the legs,,,,,,,,,,,,,,,,,,,,
,,,,,To her surprise she sees a figure of two legs and a wrench underneath the car,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
83,0:02:44,0:02:46,5,1,The police woman thinks for a while about what to do in this situation looking displeased She probably gets her happiness from giving people parking fines,,,,,,,,,,,,,,,,,,,,
,,,,,She sees the legs and hesitate to write anything down She lets out a deep breath,,,,,,,,,,,,,,,,,,,,
,,,,,To her surprise she sees a figure of two legs and a wrench underneath the car,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
84,0:02:46,0:02:48,5,1,She decides to not write him a ticket and puts the notebook back inside her jacket looking grumpy and leaves I think she really wanted to write the penalty ticket,,,,,,,,,,,,,,,,,,,,
,,,,,She puts the pen and notepad together then puts it back into her jacket and walks away So I guess she cannot give the car a ticket because someone is there with the car,,,,,,,,,,,,,,,,,,,,
,,,,,She puts the ticket in her uniform She thinks the car is being repaired But is there really a man,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
85,0:02:48,0:02:50,5,1,Mrbean was watching this whole situation behind the column of the art museum He giggles with satisfaction He is probably very proud of the tricks that he did,,,,,,,,,,,,,,,,,,,,
,,,,,AAA sees all of what happened with the officer and laughs in success He fooled her,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean watches the whole scene from the entrance of the gallery and smiles,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
86,0:02:50,0:02:52,5,1,Mrbean turns back around to enter the gallery and walks inside,,,,,,,,,,,,,,,,,,,,
,,,,,He turns around towards the entrance of the museum He enters the museum A man who looks like an officer is sitting down and dozing off on the job at the edge of a staircase on the left,,,,,,,,,,,,,,,,,,,,
,,,,,He enters the gallery This may be the very first time he enters the gallery because he was shown amazed by the sight of the gallery this time,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
87,0:02:52,0:02:54,5,1,mrbean keeps walking inside and notices a security guard in the other corner,,,,,,,,,,,,,,,,,,,,
,,,,,AAA walks in and expresses his happiness by saying oh,,,,,,,,,,,,,,,,,,,,
,,,,,He enters the gallery The security officer is sleeping in his chair,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
88,0:02:54,0:02:56,5,1,Mrbean runs up the stairs next to the security guard in the gallery Why did he suddenly start running,,,,,,,,,,,,,,,,,,,,
,,,,,He looks toward his right and says Hmm and skips to that direction It is either he saw the sleeping officer or the big painting of a redcoat,,,,,,,,,,,,,,,,,,,,
,,,,,He enters the gallery The security officer is sleeping in his chair,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
89,0:02:56,0:02:58,6,3,A big road sign France is written on it Two cars on a map of the England are running fast,,,,,,,,,,,,,,,,,,,,
,,,,,The music changes to a one that is very fast paced and encouraging tension a sign says france on a top of an empty road Then the lower part of England is shown as a map covered in the England flag Two cars the green and purple car is shown driving away from the Big Ben in different directions,,,,,,,,,,,,,,,,,,,,
,,,,,The sign board says France,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
90,0:02:58,0:03:00,6,3,Mrbean green car and the shady guy purple car are running towards to the port where the ship is waiting Mrbean car is taking lots of detours while going there whereas the other car is going pretty straight forward to it,,,,,,,,,,,,,,,,,,,,
,,,,,The purple car moves towards a ship that is placed on the lower part of Britain directly whereas the green car swerves many times into many directions,,,,,,,,,,,,,,,,,,,,
,,,,,The blue car and Mrbean yellow green car set off from England the Big Ben to be exact,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
91,0:03:00,0:03:02,6,3,Shady guy purple car arrives first to the port,,,,,,,,,,,,,,,,,,,,
,,,,,The green car catches up with the purple car The purple car lines up after other cars to get into the ship,,,,,,,,,,,,,,,,,,,,
,,,,,The blue car arrives at the dock There is a liner at the dock,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
92,0:03:02,0:03:04,6,3,A light blue car arrives next,,,,,,,,,,,,,,,,,,,,
,,,,,The green car also lines up to get into the ship There only one car that is between the purple and the green car So the green car AAA is trying to stop the purple car BBB from taking the Venus painting outside of the England illegally,,,,,,,,,,,,,,,,,,,,
,,,,,The blue car arrives at the dock There is a liner at the dock,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
93,0:03:04,0:03:06,6,3,Mrbean green car arrives he looks out of the window to see ahead,,,,,,,,,,,,,,,,,,,,
,,,,,The green car halts and honks to the car in front AAA sticks his head out from the car,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean car also arrives at the dock Several other cars are also queue up to get aboard the liner,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
94,0:03:06,0:03:08,6,3,He is staring angrily at the cars in the front while most of his upper body is out of the window at the moment He is maybe trying to find the shady guy car,,,,,,,,,,,,,,,,,,,,
,,,,,AAA continues to honk,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean impatiently honks his car,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
95,0:03:08,0:03:10,6,3,Cars start to move to enter the ship at the port Two guys are at the gate of the ship,,,,,,,,,,,,,,,,,,,,
,,,,,AAA complains The car in the very front of the line moves forward to get into the ship There are two men standing near the entrance of the ship One is wearing a beanie and looks like a bandit the other is an old man with a mustache wearing a hat that has the England flag as a design The old man is holding a bunch of instruments like the guitar and the harmonica,,,,,,,,,,,,,,,,,,,,
,,,,,The cars start getting aboard,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
96,0:03:10,0:03:12,6,3,A blue car enters the ship while one guy is playing music and the other one is making some gestures,,,,,,,,,,,,,,,,,,,,
,,,,,The first car enters the ship The old man is playing his instruments The guy with the beanie is supervising the cars going in the ship,,,,,,,,,,,,,,,,,,,,
,,,,,An old man wearing a top hat is playing music just nearby,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
97,0:03:12,0:03:14,6,3,Another red car enters the ship,,,,,,,,,,,,,,,,,,,,
,,,,,The next car enters the ship The two men are doing the same thing as before,,,,,,,,,,,,,,,,,,,,
,,,,,An old man wearing a top hat is playing music just nearby,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
98,0:03:14,0:03:16,6,3,Shady guy purple car starts to move to front while Mrbean is watching,,,,,,,,,,,,,,,,,,,,
,,,,,The purple car moves towards the ship next AAA sees the purple car move forward while complaining,,,,,,,,,,,,,,,,,,,,
,,,,,The cars are getting aboard Mrbean is impatient,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
99,0:03:16,0:03:18,6,3,While Mrbean seems somewhat upset the purple car starts to enter the ship,,,,,,,,,,,,,,,,,,,,
,,,,,AAA continues to complain with his head out the window The purple car drives towards the entrance,,,,,,,,,,,,,,,,,,,,
,,,,,The old man keep playing music,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
100,0:03:18,0:03:20,6,3,Shady guy purple car enters the ship,,,,,,,,,,,,,,,,,,,,
,,,,,The purple car enters the ship The car after that does not come The sound of a car engine starting is made,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean car cannot move yet,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
101,0:03:20,0:03:22,6,,The blue car in front of mrbean is not moving and blocking his way Is the car broken or is it a trap,,,,,,,,,,,,,,,,,,,,
,,,,,The car in front of the green car is not moving The car shakes and smokes out fumes the car does not start It looks like it is broken,,,,,,,,,,,,,,,,,,,,
,,,,,The car in front of Mrbean cannot start its engine,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
102,0:03:22,0:03:24,6,3,Lots of fume is coming out of the blue car and Mrbean angrily honks the horn,,,,,,,,,,,,,,,,,,,,
,,,,,AAA continues to honk as the car before him is not budging,,,,,,,,,,,,,,,,,,,,
,,,,,The car in front of Mrbean cannot start its engine,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
103,0:03:24,0:03:26,6,3,The car is not moving so Mrbean is looking terribly agonized,,,,,,,,,,,,,,,,,,,,
,,,,,AAA looks really angry AAA expresses his anger he shakes his head and frowns,,,,,,,,,,,,,,,,,,,,
,,,,,The car in front of Mrbean cannot start its engine Mrbean is frustrated,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
104,0:03:26,0:03:28,6,3,Mrbean continues to honk the horn very fast,,,,,,,,,,,,,,,,,,,,
,,,,,AAA continues to honk as the car still does not move,,,,,,,,,,,,,,,,,,,,
,,,,,The car in front of Mrbean cannot start its engine Mrbean is frustrated,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
105,0:03:28,0:03:30,CHANGE,CHANGE,Scene change,,,,,,,,,,,,,,,,,,,,
,,,,,AAA stands in front of a painting of a redcoat and looks up to his right,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean is inside the gallery looking at a painting,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
106,0:03:30,0:03:32,7,1,Mrbean is inside the gallery in front of a picture of Napoleon looking at the corner of the ceiling where his finger is pointed at,,,,,,,,,,,,,,,,,,,,
,,,,,He leans on the painting and closes his right eye,,,,,,,,,,,,,,,,,,,,
,,,,,The man in the painting is pointing his finger above Mrbean looks there,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
107,0:03:32,0:03:34,7,1,Mrbean sticks his body to the picture with one of his eyes closed trying to figure out where the guy finger in the picture is pointing at,,,,,,,,,,,,,,,,,,,,
,,,,,He leans the left side of his face on the painting completely flat the ceiling and wall next to the redcoat painting,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean is trying to figure out where the man in the painting is pointing at He presses his head against the painting to get as near to the painting as possible,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
108,0:03:34,0:03:36,7,1,It is pointed at just a corner of the ceiling meaningless place to be pointed at,,,,,,,,,,,,,,,,,,,,
,,,,,He moves away from the painting and shrugs,,,,,,,,,,,,,,,,,,,,
,,,,,He presses his head against the painting to get as near to the painting as possible,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
109,0:03:36,0:03:38,7,1,Mrbean looks again at the picture and turns around looking somewhat displeased,,,,,,,,,,,,,,,,,,,,
,,,,,He looks at the ceiling on his right and turns around He has his two hands on his hips He sighs out loud,,,,,,,,,,,,,,,,,,,,
,,,,,He finds nothing special there,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
110,0:03:38,0:03:40,7,1,Mrbean looks around and discovers something on his left,,,,,,,,,,,,,,,,,,,,
,,,,,He shakes his head then suddenly looks to his left,,,,,,,,,,,,,,,,,,,,
,,,,,He looks for something,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
111,0:03:40,0:03:42,7,1,He looks at what he has found with a highly satisfied look,,,,,,,,,,,,,,,,,,,,
,,,,,He looks to his left and puts his hand on his chin It looks like he realized something or as if he has an idea There is the men restroom on his left he is looking at the door of the restroom,,,,,,,,,,,,,,,,,,,,
,,,,,He finds the men room,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
112,0:03:42,0:03:44,7,1,It is a men toilet he has found He starts to hold the picture,,,,,,,,,,,,,,,,,,,,
,,,,,bathroom door Man touches his chin goes near the painting and grabs the bottom edge of the painting,,,,,,,,,,,,,,,,,,,,
,,,,,He finds the men room,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
113,0:03:44,0:03:46,7,1,Mrbean tries to lift the picture but it seems a bit heavy What is he trying to do,,,,,,,,,,,,,,,,,,,,
,,,,,He tries take the painting off from the wall He moan in the process The painting looks heavy,,,,,,,,,,,,,,,,,,,,
,,,,,He tries to remove the painting from the wall,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
114,0:03:46,0:03:48,7,1,He struggles but manages to turn the picture around His eyes are closed while he is doing it implying that he is putting all his strength to it,,,,,,,,,,,,,,,,,,,,
,,,,,He tilts the painting in a clockwise direction Okay so maybe he was not trying to take the painting off the wall,,,,,,,,,,,,,,,,,,,,
,,,,,He turns the painting clockwise,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
115,0:03:48,0:03:50,7,1,Now Napoleon finger in the picture is pointing at men toilet Mrbean continue to adjust the angle to make it point at it more accurately,,,,,,,,,,,,,,,,,,,,
,,,,,He tries to hang the painting in the perfect angle he is trying to fix the painting position into a one that he prefers,,,,,,,,,,,,,,,,,,,,
,,,,,He just wants the man in the painting to be pointing at the men room,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
116,0:03:50,0:03:52,7,1,Mrbean is now done with turning the picture around to make it point at men toilet,,,,,,,,,,,,,,,,,,,,
,,,,,He positions the painting so that the redcoat points towards the bathroom The painting frame is placed like a diamond now,,,,,,,,,,,,,,,,,,,,
,,,,,Now the painting is tilted but it points at the men room,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
117,0:03:52,0:03:54,7,1,Mrbean gives a thumb up sign looking at what he just did and happily comes down the stairs He is probably happy that now Napoleon finger is pointing at something more meaningful,,,,,,,,,,,,,,,,,,,,
,,,,,He is satisfied with his effort and walks down the stairs,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean looking feeling accomplished and proud goes somewhere else,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
118,0:03:54,0:03:56,7,1,Mrbean continues to leave the gallery and there is an old security guard dozing off in the entrance Why is the guard always sleeping though,,,,,,,,,,,,,,,,,,,,
,,,,,He walks to his right The sleeping officer is shown AAA is going to walk past the officer,,,,,,,,,,,,,,,,,,,,
,,,,,He is at the security again The officer is sleeping as usual,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
119,0:03:56,0:03:58,7,1,Mrbean walks past the sleeping security guard,,,,,,,,,,,,,,,,,,,,
,,,,,AAA walks past the officer The officer snores as AAA passes by,,,,,,,,,,,,,,,,,,,,
,,,,,He passes the security,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
120,0:03:58,0:04:00,7,1,Mrbean turns around to look at the sleeping security guard and make some hand gestures,,,,,,,,,,,,,,,,,,,,
,,,,,AAA turns back and looks at the officer He makes a gesture towards him as if signifying that he is annoyed with the officer pathetic work attitude He also makes the sound,,,,,,,,,,,,,,,,,,,,
,,,,,He looks at the security officer sleeping at work and is not pleased,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
121,0:04:00,0:04:02,7,1,Mrbean shakes his head and starts to leave him behind He probably thinks the security guard is being so useless,,,,,,,,,,,,,,,,,,,,
,,,,,AAA sighs and looks at the floor as if exhausted He moves his hands down as if to say something like whatever towards the officer,,,,,,,,,,,,,,,,,,,,
,,,,,He looks disappointed at the officer and leaves,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
122,0:04:02,0:04:04,CHANGE,CHANGE,Scene change,,,,,,,,,,,,,,,,,,,,
,,,,,He walks away AAA is outside his green car with the mime man in front of him AAA takes something out from his jacket or pretends to take out something from his jacket puts his hand together and makes hand position that imitates someone holding a gun He is going to fight mime with mime he is going to pretend to shoot the mime man,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean is at the outdoor cafe with the man with a flower on his head He was chasing the blue car but was blocked by the man,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
123,0:04:04,0:04:06,8,4,Mrbean outside of his car makes a gesture as if he is pointing a gun at the clown guy who is blocking him,,,,,,,,,,,,,,,,,,,,
,,,,,AAA kneels down on one knee and aims his invisible gun towards the mime man,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean makes a gun figure with his hands and threatens the man,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
124,0:04:06,0:04:08,8,4,Mrbean pretends to shoot a gun to the clown guy and the clown guy acts as if he has been shot Why are they doing these all of sudden laugh mrbean supposed to be mad at him,,,,,,,,,,,,,,,,,,,,
,,,,,AAA pretends to shoot the mime man he makes a gun aiming sound and a gun shooting sound The mime man also pretends that he is shot How cute laugh out loud,,,,,,,,,,,,,,,,,,,,
,,,,,He pretends shooting at the man with the imaginary gun,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
125,0:04:08,0:04:10,8,4,The clown continues to act as if he has just been shot but a bit overacting walking back and forth,,,,,,,,,,,,,,,,,,,,
,,,,,The Mime pretends that he is suffocating from the gunshot He walks backwards away from AAA and then towards AAA again AAA stands and watches the Mime play pain,,,,,,,,,,,,,,,,,,,,
,,,,,The man looks like he got shot Is he just messing with mrbean,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
126,0:04:10,0:04:12,8,4,The clown walks to the other side covering the imaginary gun shot wound,,,,,,,,,,,,,,,,,,,,
,,,,,The Mime slowly gets away from AAA pretending to be in pain AAA sighs out loud looking at the Mime pathetically,,,,,,,,,,,,,,,,,,,,
,,,,,The man looks like he got shot Is he just messing with mrbean,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
127,0:04:12,0:04:14,8,4,The clown walks until where the kissing couple is while still acting like he has been shot Can mrbean just leave him now and get going already,,,,,,,,,,,,,,,,,,,,
,,,,,The Mime walks over towards the kissing couple and the newspaper reading man and pretends to be in pain,,,,,,,,,,,,,,,,,,,,
,,,,,The man goes to a table and pretends death,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
128,0:04:14,0:04:16,8,4,The clown acts like he is dying and falls on the table of the kissing couple He is totally overacting,,,,,,,,,,,,,,,,,,,,
,,,,,The Mime falls on the table in front of the kissing couple He takes his hat off with his hand before falling down The people around look at him The mime caught their attention,,,,,,,,,,,,,,,,,,,,
,,,,,The man goes to a table and pretends death holding the flower he had on his head earlier,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
129,0:04:16,0:04:18,8,4,Everyone gives the clown enthusiastic applause including the kissing couple that never gave the clown attention,,,,,,,,,,,,,,,,,,,,
